Route,Sequence,Distance
1,0-74-6-31-5-47-43-20-40-38-44-0,70.330
2,0-32-52-86-54-80-12-72-62-0,57.276
3,0-58-15-48-17-39-85-11-0,56.184
4,0-3-28-59-53-83-24-90-69-78-0,51.801
5,0-65-19-64-33-42-71-0,40.005
6,0-67-7-37-70-25-46-76-36-60-87-0,74.378
7,0-82-10-14-50-84-1-0,43.606
8,0-77-66-2-4-9-61-0,44.222
9,0-21-29-26-16-45-56-30-55-13-75-0,43.623
10,0-49-27-79-8-88-22-18-51-0,56.090
11,0-57-34-89-73-68-23-35-81-41-63-0,62.940
